node_id,role_probs,majority_role,node_index
uiuo.ark+=13960=t2d79kv9g,"{0: np.float64(0.25378148963792735), 1: np.float64(0.01587688588938709), 2: np.float64(0.12987338950546498), 3: np.float64(0.1449388016344371), 4: np.float64(0.262249646683616), 5: np.float64(0.1932797866491675)}",4,0
nyp.33433074927561,"{0: np.float64(0.11563432090898211), 1: np.float64(0.26271836448030444), 2: np.float64(0.14870817787081891), 3: np.float64(0.260731811117246), 4: np.float64(0.1984962143523734), 5: np.float64(0.013711111270275215)}",1,1
nyp.33433075861835,"{0: np.float64(0.15995885687959902), 1: np.float64(0.32914821437659886), 2: np.float64(0.05897823418049795), 3: np.float64(0.36915978297013124), 4: np.float64(0.013080097308233668), 5: np.float64(0.06967481428493928)}",3,2
mdp.39015037822650,"{0: np.float64(0.155627493261644), 1: np.float64(0.18339316101373343), 2: np.float64(0.21432832121810477), 3: np.float64(0.17177266311043113), 4: np.float64(0.17611004008140058), 5: np.float64(0.0987683213146861)}",2,3
uc2.ark+=13960=t4bp02s9c,"{0: np.float64(0.06933737979175887), 1: np.float64(0.1430709476565615), 2: np.float64(0.16253566929388613), 3: np.float64(0.03415257823942719), 4: np.float64(0.2714025101922598), 5: np.float64(0.31950091482610643)}",5,4
uc1.32106005205981,"{0: np.float64(0.24394784259193728), 1: np.float64(0.12971625868613032), 2: np.float64(0.24336646018360772), 3: np.float64(0.16352270344913908), 4: np.float64(0.17823467373899246), 5: np.float64(0.04121206135019307)}",0,5
uc1.b4390776,"{0: np.float64(0.16465119321786342), 1: np.float64(0.09509285730247338), 2: np.float64(0.17300973724021212), 3: np.float64(0.26473636406836937), 4: np.float64(0.1913156361744342), 5: np.float64(0.11119421199664754)}",3,6
inu.30000120975713,"{0: np.float64(0.07207836718566324), 1: np.float64(0.28092020796429634), 2: np.float64(0.048668148593119305), 3: np.float64(0.048123802967119364), 4: np.float64(0.2626865190913718), 5: np.float64(0.28752295419842994)}",5,7
mdp.39015008008214,"{0: np.float64(0.14725536655720964), 1: np.float64(0.2958652785883106), 2: np.float64(0.26708753466176777), 3: np.float64(0.03462009573517882), 4: np.float64(0.02508673765235439), 5: np.float64(0.23008498680517894)}",1,8
uc1.$b787142,"{0: np.float64(0.06736103264435772), 1: np.float64(0.05266914984175659), 2: np.float64(0.2536310008702239), 3: np.float64(0.14888382172154646), 4: np.float64(0.2849017582111262), 5: np.float64(0.1925532367109891)}",4,9
